正式法令名,法令番号,略称法令名１,略称法令名２,略称法令名３,略称法令名４
安全な血液製剤の安定供給の確保等に関する法律,昭和三十一年法律第百六十号,血液法,,,
地方教育行政の組織及び運営に関する法律,昭和三十一年法律第百六十二号,地教行法,地方教育行政法,,
積雪寒冷特別地域における道路交通の確保に関する特別措置法,昭和三十一年法律第七十二号,雪寒法,,,
旧軍人等の遺族に対する恩給等の特例に関する法律,昭和三十一年法律第百七十七号,恩給特例法,,,
就学困難な児童及び生徒に係る就学奨励についての国の援助に関する法律施行令,昭和三十一年政令第八十七号,就学奨励援助法施行令,,,
地方教育行政の組織及び運営に関する法律施行令,昭和三十一年政令第二百二十一号,地方教育行政法施行令,地教行法施行令,,
労働保険審査官及び労働保険審査会法施行令,昭和三十一年政令第二百四十八号,労審法施行令,,,
地方自治法第二百五十二条の十九第一項の指定都市の指定に関する政令,昭和三十一年政令第二百五十四号,地自法第二百五十二条の十九第一項の指定都市の指定に関する政令,,,
化製場等に関する法律施行令,昭和三十一年政令第二百八十五号,化製場法施行令,,,
国の債権の管理等に関する法律施行令,昭和三十一年政令第三百三十七号,債権管理法施行令,,,
旧軍人等の遺族に対する恩給等の特例に関する法律施行令,昭和三十一年政令第三百六十六号,恩給特例法施行令,,,
旧軍人等の遺族に対する恩給等の特例に関する法律の規定により給すべき扶助料又は改定すべき扶助料の請求手続に関する省令,昭和三十一年総理府令第九十三号,恩給特例法の規定により給すべき扶助料又は改定すべき扶助料の請求手続に関する省令,,,
補助金等に係る予算の執行の適正化に関する法律第二十三条第二項の証票の書式を定める省令,昭和三十一年大蔵省令第三十五号,補助金適正化法証票書式省令,補助金等適正化法証票書式省令,,
安全な血液製剤の安定供給の確保等に関する法律施行規則,昭和三十一年厚生省令第二十二号,血液法施行規則,,,
旧軍人等の遺族に対する恩給等の特例に関する法律に基づく事実調査に関する省令,昭和三十一年厚生省令第五十七号,恩給特例法に基づく事実調査に関する省令,,,
自動車損害賠償保障事業業務委託契約準則,昭和三十一年運輸省令第三号,自賠事業業務委託契約準則,,,
動力車操縦者運転免許に関する省令,昭和三十一年運輸省令第四十三号,動免省令,,,
旅客自動車運送事業運輸規則,昭和三十一年運輸省令第四十四号,運輸規則,,,
労働保険審査官及び労働保険審査会法施行規則,昭和三十一年労働省令第十七号,労審法施行規則,,,
租税特別措置法,昭和三十二年法律第二十六号,租特法,,,
特定多目的ダム法,昭和三十二年法律第三十五号,ダム法,特ダム法,,
滞納処分と強制執行等との手続の調整に関する法律,昭和三十二年法律第九十四号,滞調法,,,
国の庁舎等の使用調整等に関する特別措置法,昭和三十二年法律第百十五号,庁舎法,,,
核原料物質、核燃料物質及び原子炉の規制に関する法律,昭和三十二年法律第百六十六号,原子炉等規制法,,,
放射性同位元素等の規制に関する法律,昭和三十二年法律第百六十七号,放射線障害防止法,放射性同位元素等規制法,,
中小企業団体の組織に関する法律,昭和三十二年法律第百八十五号,中小企業団体法,,,
生活衛生関係営業の運営の適正化及び振興に関する法律,昭和三十二年法律第百六十四号,生活衛生関係営業適正化・振興法,,,
租税特別措置法施行令,昭和三十二年政令第四十三号,租特法施行令,,,
国の庁舎等の使用調整等に関する特別措置法施行令,昭和三十二年政令第百十四号,庁舎法施行令,,,
特定多目的ダム法施行令,昭和三十二年政令第百八十八号,特ダム法施行令,ダム法施行令,,
積雪寒冷特別地域における道路交通の確保に関する特別措置法施行令,昭和三十二年政令第百九十二号,雪寒法施行令,,,
滞納処分と強制執行等との手続の調整に関する政令,昭和三十二年政令第二百四十八号,滞調令,,,
生活衛生関係営業の運営の適正化及び振興に関する法律施行令,昭和三十二年政令第二百七十九号,生活衛生関係営業適正化・振興法施行令,,,
核原料物質、核燃料物質及び原子炉の規制に関する法律施行令,昭和三十二年政令第三百二十四号,原子炉等規制法施行令,,,
財務諸表等の監査証明に関する内閣府令,昭和三十二年大蔵省令第十二号,監査証明省令,,,
租税特別措置法施行規則,昭和三十二年大蔵省令第十五号,租特法施行規則,,,
国の庁舎等の使用調整等に関する特別措置法施行細則,昭和三十二年大蔵省令第五十一号,庁舎法施行細則,,,
生活衛生関係営業の運営の適正化及び振興に関する法律施行規則,昭和三十二年厚生省令第三十七号,生活衛生関係営業適正化・振興法施行規則,,,
小型自動車競走審判員、選手および小型自動車登録規則,昭和三十二年通商産業省令第四十一号,オートレース登録規則,,,
危険物船舶運送及び貯蔵規則,昭和三十二年運輸省令第三十号,危規則,,,
労働基準法第七十六条第二項の規定による常時百人未満の労働者を使用する事業場に使用される労働者に対して行う休業補償の額の改訂及び改訂後の休業補償の額の改訂の方法の特例に関する省令,昭和三十二年労働省令第二十二号,労基法常時百人未満事業場労働者休業補償額の改訂及び改訂後の休業補償額の改訂方法特例省令,,,
宅地建物取引業法施行規則,昭和三十二年建設省令第十二号,宅建業法施行規則,,,
特定多目的ダム法施行規則,昭和三十二年建設省令第十八号,特ダム法施行規則,ダム法施行規則,,
銃砲刀剣類所持等取締法,昭和三十三年法律第六号,銃刀法,,,
道路整備事業に係る国の財政上の特別措置に関する法律,昭和三十三年法律第三十四号,道路整備財源特例法,道路整備事業財政特別措置法,道路特例法,道路財特法
義務教育諸学校等の施設費の国庫負担等に関する法律,昭和三十三年法律第八十一号,施設費負担法,,,
公立義務教育諸学校の学級編制及び教職員定数の標準に関する法律,昭和三十三年法律第百十六号,義務教育諸学校標準法,義務標準法,義務教育標準法,
国家公務員共済組合法,昭和三十三年法律第百二十八号,国公共済法,,,
国家公務員共済組合法の長期給付に関する施行法,昭和三十三年法律第百二十九号,国公共済法の長期給付に関する施行法,,,
電話加入権質に関する臨時特例法,昭和三十三年法律第百三十八号,電質法,,,
国民健康保険法,昭和三十三年法律第百九十二号,国健保法,国保法,,
国民健康保険法施行法　抄,昭和三十三年法律第百九十三号,国保法施行法　抄,国健保法施行法　抄,,
駐留軍関係離職者等臨時措置法,昭和三十三年法律第百五十八号,駐留軍法,,,
銃砲刀剣類所持等取締法施行令,昭和三十三年政令第三十三号,銃刀法施行令,,,
中小企業等協同組合法施行令,昭和三十三年政令第四十三号,中協法施行令,,,
中小企業団体の組織に関する法律施行令,昭和三十三年政令第四十五号,中小企業団体法施行令,,,
地方交付税法施行令,昭和三十三年政令第百十七号,交付税法施行令,,,
駐留軍関係離職者等臨時措置法施行令,昭和三十三年政令第百三十一号,駐留軍法施行令,,,
電話加入権質に関する臨時特例法施行令,昭和三十三年政令第百八十号,電質法施行令,,,
社会福祉法施行令,昭和三十三年政令第百八十五号,社福法施行令,,,
